cause,effect,sentence,source
ptsd,alcoholism,"He told his constituents that his problems stemmed from PTSD, which caused his alcoholism.",wikipedia_sentence
pain,alcoholism,"He died on October 4, 1991, due to alcoholism caused by business stresses and pain caused from his injuries in the car wreck.",wikipedia_sentence
anxiety,alcoholism,,wikipedia_infobox
social_drinking,alcoholism,"The arc, which played out in two parts, was typically controversial for the show but gained praise for highlighting how social drinking can lead to alcoholism.",wikipedia_sentence
use_of_alcohol,alcoholism,"The painkillers he has been prescribed are ineffective, and his use of alcohol as an analgesic has led to his alcoholism.",wikipedia_sentence
lifestyle,alcoholism,"Conteh also spoke of how his lifestyle led to alcoholism and a charge of assault, he stated that at the time he appeared on Sporting Legends he had been dry for nine years.",wikipedia_sentence
mental_instability,alcoholism,He spent his medical career in an attempt to persuade the courts that crime and alcoholism were the result of mental instability.,wikipedia_sentence
browning_into_a_depression,alcoholism,The death of his father sent Browning into a depression that led to alcoholism.,wikipedia_sentence
excessive_consumption_of_alcohol,alcoholism,Excessive consumption of alcohol can cause liver cirrhosis and alcoholism.,wikipedia_sentence
unusually_high_levels_of_mortality_from_accidents,alcoholism,"Another distinctive characteristic of the former Soviet case is the presence of unusually high levels of mortality from accidents and other external causes, which are typically associated with alcoholism.""",wikipedia_sentence
attraction_to_fast_living_and_women,alcoholism,"His future looked bright, but his attraction to fast living and women soon led to alcoholism, and he became an embarrassment to his family, frequenting saloons and brothels.",wikipedia_sentence
psychiatric_disorders,alcoholism,"The psychiatric disorders which are associated with alcoholism include major depression, dysthymia, mania, hypomania, panic disorder, phobias, generalized anxiety disorder, personality disorders, schizophrenia, suicide, neurologic deficits (e.g. impairments of working memory, emotions, executive functions, visuospatial abilities and gait and balance) and brain damage.",wikipedia_sentence
elevated_mcv,alcoholism,An elevated MCV is also associated with alcoholism (as are an elevated GGT and a ratio of AST:ALT of 2:1).,wikipedia_sentence
liberal_exposure_to_the_consumption_of_alcohol,alcoholism,"The environment that agents work in often involves a very liberal exposure to the consumption of alcohol, which in conjunction with the stress and isolation could result in alcoholism.",wikipedia_sentence
inability_to_achieve_financial_success,alcoholism,"His publicist blamed his alcoholism and depression on his inability to achieve financial success, despite his fame and popularity.",wikipedia_sentence
needle,alcoholism,"Kutner, who has formed an emotional attachment with the patient, explains to her adoptive parents that her alcoholism was caused by a needle which had embedded itself in the portion of her brain that controls addictive behavior.",wikipedia_sentence
clara_'s_depression,alcoholism,Clara's depression resulted in alcoholism and after two strokes she died in 1973 at the age of 49.,wikipedia_sentence
socio-economic_problems,alcoholism,"Lill concluded there were already 44 associations in Kenora, none of them effective in dealing with the socio-economic problems that resulted in alcoholism and violence.",wikipedia_sentence
heavy_bouts_of_depression,alcoholism,"During the last years of his life, Barreto was attacked by heavy bouts of depression, which led him to alcoholism and many visits to different psychiatric hospitals and sanatoriums.",wikipedia_sentence
isolation,alcoholism,"Alcoholism could be the result of the isolation that a Highland factor endured, together with the unrelenting hard work.",wikipedia_sentence
business_stresses,alcoholism,"He died on October 4, 1991, due to alcoholism caused by business stresses and pain caused from his injuries in the car wreck.",wikipedia_sentence
imprisonment,alcoholism,He died in 1946 of alcoholism and long-term health issues caused by imprisonment.,wikipedia_sentence
environmental_trigger,alcoholism,Sometimes the individual may never encounter an environmental trigger that leads to alcoholism.,wikipedia_sentence
abnormalities_of_mmn,alcoholism,"Risto Näätänen has been most interested in the clinical scope: abnormalities of MMN have been associated with alcoholism, psychosis in schizophrenia, Alzheimer's disease, Parkinson's disease, and dyslexia.",wikipedia_sentence
tommy_merlyn_'s_death,alcoholism,"Laurel attempts to use their previous meeting from season 1 and her own past tragedies like Tommy Merlyn's death leading to her alcoholism and painkiller addiction and her pushing Oliver and her family away, to help convince Helena to end this.",wikipedia_sentence
abruptly_painful_separation,alcoholism,"Its narrative centers on a couple that has an abruptly painful separation leading both to alcoholism and eventually drinking themselves to death: first the man, with a broken heart, and later the woman, feeling guilt for the man's death.",wikipedia_sentence
mutation_in_the_cart_gene,alcoholism,"CART is altered in the ventral tegmental area of cocaine overdose victims, and a mutation in the CART gene is associated with alcoholism.",wikipedia_sentence
severe_emotional_trauma,alcoholism,"Official attacks by the Soviet Communist Party caused Dikiy a severe emotional trauma, which led to alcoholism, depression and other health problems.",wikipedia_sentence
stress_of_covering_news_events,alcoholism,"Friends say that the stress of covering news events, often involving calamity, contributed to his alcoholism, his career setbacks, and untimely death.",wikipedia_sentence
common_traits,alcoholism,"Many retrospective, or backward-looking, studies might take a group of alcoholics and try to determine what common traits might have caused their alcoholism.",wikipedia_sentence
unhappy_family_environments,alcoholism,Unhappy family environments caused alcoholism only if the unhappy environments were the result of alcoholism in the first place.,wikipedia_sentence
inability_to_satisfy_his_work_ethics,alcoholism,"Skates became inundated with touring and recording commitments, and stated that the close-mindedness of some band members was suppressing Overkill’s success, and the inability to satisfy his work ethics resulted in deep depression, excessive sleeping and alcoholism.",wikipedia_sentence
long-term_use,alcoholism,"Long-term use can lead to alcohol abuse, physical dependence, and alcoholism.",wikipedia_sentence
media_interest,alcoholism,"According to an inquest into his death, alcoholism resulting from media interest in the phone hacking scandal caused irreversible damage to Hoare's liver.",wikipedia_sentence
uncritical_attitude_to_alcohol,alcoholism,"As a consequence of his grandmother's drinking habits, he develops an uncritical attitude to alcohol, which eventually leads to alcoholism.",wikipedia_sentence
gurling_sought_genes,alcoholism,"Gurling sought genes that would cause schizophrenia, bipolar disorder (manic depression) and alcoholism.",wikipedia_sentence
lack_of_a_job,alcoholism,Depression and lack of a job resulted in alcoholism and consequent death from another heart attack at the age of 24.,wikipedia_sentence
experiences_with_mother,alcoholism,"The novel Nick claims to have written reflects the first parts of the story about flesh interfaces and Q. Eventually, Nick reveals that the abducted kid is himself, and the experiences with Mother triggered both his writing and his alcoholism.",wikipedia_sentence
environmental_and_genetic_factors,alcoholism,,wikipedia_infobox
"inexpensive_,_easily_accessed",alcoholism,,wikipedia_infobox
complex_interplay_of_biological,sex_differences_in_psychology,"Sex differences in psychology are differences in the mental functions and behaviors of the sexes, and are due to a complex interplay of biological, developmental, and cultural factors.",wikipedia_sentence
elements_of_modern_technology,human_evolution,Scholars such as Ian Tattersall and Steve Jones have similarly discussed scenarios where elements of modern technology (such as medicine) may have caused human evolution to slow or stop.,wikipedia_sentence
mining,pollution,"One source of controversy involved the method used for mining, gold cyanidation, which causes pollution.",wikipedia_sentence
activities,pollution,"However, these activities can cause erosion, pollution, species loss, and loss of aesthetic appeal.",wikipedia_sentence
human_activities,pollution,It is threatened because of pollution and sedimentation due to human activities.,wikipedia_sentence
industrialization,pollution,"At the same time, population growth, urbanization and industrialization continue to cause pollution and depletion of water sources.",wikipedia_sentence
vehicles,pollution,The pollution in Switzerland is mainly the pollution caused by vehicles and the litteration by tourists.,wikipedia_sentence
human_activity,pollution,"Within the areas of the MPAs, reefs are protected from sediment, trash, and pollution resulting from human activity.",wikipedia_sentence
pesticides,pollution,"Other human impacts include the heavy water consumption for agriculture and urban areas, and pollution caused by pesticides, nitrates, mine tailings, acid mine drainage and urban runoff.",wikipedia_sentence
population_growth,pollution,"In 1829, the East London Waterworks Company moved their source of water further up river to Lea Bridge as a result of pollution caused by population growth.",wikipedia_sentence
traffic,pollution,"The 1997 White Paper sponsored by the Ministry of Environment and Forests already proposed various measures to bring down pollution caused by traffic, including smoothing the flow of traffic with parking regulations and bringing down total traffic by mandatory limits on driving.",wikipedia_sentence
industry,pollution,"Living and working in this industrial environment, he gained a personal understanding of production and the lives of the proletariat, and was disgusted by the poor living conditions of workers and the pollution caused by industry; these factors greatly influenced his political views.",wikipedia_sentence
trees,pollution,"Additionally, Reagan was widely ridiculed by Democrats for saying that trees caused pollution; he later said that he meant only certain types of pollution and his remarks had been misquoted.",wikipedia_sentence
emissions,pollution,Fuel efficiency directly affects emissions causing pollution by affecting the amount of fuel used.,wikipedia_sentence
urbanization,pollution,"At the same time, population growth, urbanization and industrialization continue to cause pollution and depletion of water sources.",wikipedia_sentence
urban_runoff,pollution,"Other human impacts include the heavy water consumption for agriculture and urban areas, and pollution caused by pesticides, nitrates, mine tailings, acid mine drainage and urban runoff.",wikipedia_sentence
factory,pollution,"The pollution resulting from this factory and the case of Anniston, in the US, are  the largest known cases in the world of PCB contamination in water and soil, in terms of the amount of toxic substance dispersed, size of the area contaminated, number of people involved and duration of production.",wikipedia_sentence
excess_nutrients,pollution,"The major causes of pollution are excess nutrients, hydrocarbons, pesticides and bacteria which become concentrated in the river and its sediment after flowing off surrounding lands.",wikipedia_sentence
transportation,pollution,"This is becoming dramatically more attractive for large buildings and as potable water is becoming scarce (and expensive);\n energy-efficient highly insulated building envelope, intelligent lighting, and natural ventilation (some is rediscovery: natural lighting and ventilation were common before electricity);\n solar electric (photovoltaic) panels provided by City Light's Green Power program\n 80% recycling or salvaging of demolition and construction waste;\n salmon-friendly landscaping, meaning drought-tolerant, native species and increased storm water infiltration;\n paints and coatings, adhesives, sealants, wood composites and carpeting which protect indoor air quality;\n recycled content products were used in construction: concrete, backfill, wood composite casework, insulation, and flooring; salvaged materials included peeler logs from a naval building in South Lake Union; and\n regional materials were preferred, supporting the regional economy and reducing the energy, waste, and pollution associated with transportation (one of the biggest components of fossil fuel and energy use).",wikipedia_sentence
humanity,pollution,"At the end of the arcade version, after destroying the enemy fortress, various images of the Earth's past are shown, such as the pollution caused by humanity, and the planet itself, flashing before the pilot's eyes.",wikipedia_sentence
deforestation,pollution,"In Le Grand Lac of Cambodia, which is connected to the Mekong River Basin by the Tonlé Sap River, deforestation has caused pollution, which in turn has created a reduction of food, erosion, and siltation.",wikipedia_sentence
agricultural_run-off,pollution,It is threatened by habitat loss through deforestation and habitat conversion to agriculture as well as by the pollution due to agricultural run-off.,wikipedia_sentence
septic_systems,pollution,"The creek's quality is described as ""good"" by the Fishkill Creek Watershed Committee, though agricultural operations, sewer treatment plants, and septic systems led to pollution at certain times during a study from 1973 to 2002.",wikipedia_sentence
carbon_monoxide,pollution,Another purpose of the mission was to analyze the ecological state of the planet and to take measurements of pollution caused by carbon monoxide.,wikipedia_sentence
stormwater_runoff,pollution,"According to LEED design standards and ""Green Building Facts"", an erosion and sedimentation control plan was developed to limit pollution caused by stormwater runoff.",wikipedia_sentence
urban_sprawl,pollution,The park's ecology remains in danger from pollution associated with urban sprawl.,wikipedia_sentence
waste_materials,pollution,They also produce waste materials and waste heat that may cause environmental problems or cause pollution.,wikipedia_sentence
plant,pollution,"Since 2007, there is an attempt to establish a coal power plant in Lahad Datu which receiving opposition from local residents and non-governmental organisations for the pollution that would be caused by the plant.",wikipedia_sentence
hydraulic_fracturing,pollution,"Between 1995 and 2007, the number of natural gas wells in the county increased from 156 to 1,820, which has led to some controversy over the pollution resulting from hydraulic fracturing.",wikipedia_sentence
smoke,pollution,"This method is used less often now, because of the pollution caused by smoke.",wikipedia_sentence
plastic_bags,pollution,"Recycling, banning, and taxation fails to adequately reduce the pollution caused by plastic bags.",wikipedia_sentence
oil_exploration,pollution,"Soco International's own environmental impact assessment reports say that oil exploration is likely to cause pollution, irreparably damage habitats and bring poaching to the park.",wikipedia_sentence
industrial_wastes,pollution,"According to the report,""substantial economic injury results from the inability to market shellfish or shellfish products in interstate commerce because of pollution caused by sewage and industrial wastes discharged to the Penobscot River and upper Penobscot Bay area and action of state authorities.""",wikipedia_sentence
glues,pollution,"Some glues that are used, such as those that contain formaldehyde, are feared to cause pollution when they are burned during cremation or when degrading in the ground.",wikipedia_sentence
diffuse_sources,pollution,"Nonpoint source (NPS) pollution is a term used to describe pollution resulting from many diffuse sources, in direct contrast to point source pollution which results from a single source.",wikipedia_sentence
toxic_chemicals,pollution,The pollution was caused by toxic chemicals from a tannery company the brothers owned.,wikipedia_sentence
rising_affluence,pollution,Rising affluence is another indirect cause of pollution.,wikipedia_sentence
heavy_metals,pollution,"It can also be used as a biomonitor to indicate pollution caused by heavy metals, organochlorides and petroleum products.",wikipedia_sentence
mines,pollution,"Around 12 mines operate in the area without proper environmental controls, and pollution caused by the mines is a major health hazard.",wikipedia_sentence
use_of_fossil_fuels,pollution,"""Pollution"" - Pollution caused by the use of fossil fuels is another driver of environmental destruction.",wikipedia_sentence
aircraft,pollution,"Environmental scientists have voiced concern over the main kinds of pollution associated with aircraft, mainly noise and emissions.",wikipedia_sentence
untreated_sewage,pollution,The International Wastewater Treatment Plant was created in an effort to mitigate pollution caused by untreated sewage coming from the city of Tijuana.,wikipedia_sentence
candle_burning,pollution,"A one-year study of air pollution inside the church in 2002–03 showed that CO2 spikes occur during Sunday masses, when large volumes of outside air are admitted, while Elemental Carbon (EC) pollution is primarily caused by candle burning.",wikipedia_sentence
environmental_threats,pollution,"Various international treaties attempt to reduce pollution caused by environmental threats such as oil spills, marine debris, and the incineration of toxic wastes at sea.",wikipedia_sentence
respiratory_illnesses,pollution,"Respiratory illnesses that are associated with pollution are more prevalent here than elsewhere in Canada as Windsor is downwind from several strong polluters, notably coal-burning power plants in the United States.",wikipedia_sentence
acid_mine_drainage,pollution,"Other human impacts include the heavy water consumption for agriculture and urban areas, and pollution caused by pesticides, nitrates, mine tailings, acid mine drainage and urban runoff.",wikipedia_sentence
nitrates,pollution,"Other human impacts include the heavy water consumption for agriculture and urban areas, and pollution caused by pesticides, nitrates, mine tailings, acid mine drainage and urban runoff.",wikipedia_sentence
tailings,pollution,"Other human impacts include the heavy water consumption for agriculture and urban areas, and pollution caused by pesticides, nitrates, mine tailings, acid mine drainage and urban runoff.",wikipedia_sentence
harmful_wood-burning_stoves,pollution,Pollution in part being caused by harmful wood-burning stoves.,wikipedia_sentence
litter_of_all_kinds,pollution,Litter : Litter of all kinds is both unsightly and can cause pollution and damage to livestock and wild animals.,wikipedia_sentence
camorra_'s_control_of_refuse_disposal,pollution,In November 2013 a demonstration by tens of thousands of people was held in Naples in protest against the pollution caused by the Camorra's control of refuse disposal.,wikipedia_sentence
20th_century_'s_industrialization,pollution,"The 20th century's industrialization led to overcrowding, pollution and global warming due to the greenhouse effect.",wikipedia_sentence
massive_growth_in_chinese_industry,pollution,A majority of factors of this population decline are being driven by the massive growth in Chinese industry since 1990 which caused increased shipping and pollution and ultimately environmental degradation.,wikipedia_sentence
staggering_increase_of_traffic_through_the_country,pollution,One of the most pressing is the pollution caused by the staggering increase of traffic through the country.,wikipedia_sentence
civilization,pollution,Hair also aims its satire at the pollution caused by our civilization.,wikipedia_sentence
heavy_coal_mining,pollution,"The pollution, caused in part by heavy coal mining, has caused significant public health challenges.",wikipedia_sentence
city_'s_sewer_system,pollution,"The pollution was caused by the city's sewer system, made of century-old clay and metal pipes.",wikipedia_sentence
industries_located_along_the_ship_channel,pollution,The industries located along the ship channel and the bay are a major cause of the pollution.,wikipedia_sentence
chemical_pulping,pollution,This could have major environmental benefits in reducing the pollution associated with chemical pulping.,wikipedia_sentence
chemical_waste,pollution,"Pollution caused by chemical waste is suspected as the cause, but avian influenza is also being investigated.",wikipedia_sentence
agglomeration,pollution,"While the existence of cities can only persist if the advantages outweigh the disadvantages, agglomeration may also lead to traffic congestion, pollution and other negative externalities caused by the clustering of a population of firms and people and that this may lead to diseconomies of scale.",wikipedia_sentence
kingpin,pollution,He attacks New York in response to pollution caused by the Kingpin.,wikipedia_sentence
matangi,pollution,"Matangi is often associated with pollution, inauspiciousness and the periphery of Hindu society, which is embodied in her most popular form, known as Uchchhishta-Chandalini or Uchchhishta-Matangini.",wikipedia_sentence
loss_of_position_keeping_capability,pollution,"Class 2 Operations where loss of position keeping capability may cause personnel injury, pollution, or damage with large economic consequences.",wikipedia_sentence
loss_of_position,pollution,"Class 2 DP units with equipment class 2 should be used during operations where loss of position could cause personnel injury, pollution or damage with great economic consequences.",wikipedia_sentence
cumulative_effect,pollution,Pollution is the result of the cumulative effect over time.,wikipedia_sentence
chemical_inputs,pollution,Transportation contributes to environmental contamination in addition to the pollution caused by chemical inputs in the growing phase.,wikipedia_sentence
litteration_by_tourists,pollution,The pollution in Switzerland is mainly the pollution caused by vehicles and the litteration by tourists.,wikipedia_sentence
run-off_from_the_land_of_sewage,pollution,"Pollution may be the result of run-off from the land of sewage, agricultural products, fuel or chemicals.",wikipedia_sentence
agricultural_products,pollution,"Pollution may be the result of run-off from the land of sewage, agricultural products, fuel or chemicals.",wikipedia_sentence
fuel_or_chemicals,pollution,"Pollution may be the result of run-off from the land of sewage, agricultural products, fuel or chemicals.",wikipedia_sentence
industrial_new_jersey,pollution,"Her family (particularly her parents' accent and ""outcast"" status) parodies aspects of pollution and undesirability associated with industrial New Jersey when compared with New York City.",wikipedia_sentence
decreased_demand_for_high-sulfur_coal,pollution,"Southern Illinois also has significant coal deposits; however, since the late 1980s, the coal industry has suffered significant decline due to the decreased demand for high-sulfur coal, which causes more pollution.",wikipedia_sentence
groundwater_leakage,pollution,"However, leaching and groundwater leakage still causes some pollution.",wikipedia_sentence
western_medicine,pollution,"Recent historians, including Chris Bayly, have preferred to frame this as a ""clash of knowledges"", with proclamations from religious authorities before the revolt and testimony after it including on such issues as the ""insults to women"", the rise of ""low persons under British tutelage"", the ""pollution"" caused by Western medicine and the persecuting and ignoring of traditional astrological authorities.",wikipedia_sentence
human_civilization,pollution,"Human civilization has led to environmental destruction and pollution significantly contributing to the ongoing mass extinction of other forms of life called the Holocene extinction event, which may be further accelerated by global warming in the future.",wikipedia_sentence
base_'s_activities,pollution,"Local residents also became concerned over pollution and ground water and soil contamination caused by the base's activities: for example, Lt. Col. (Ret.)",wikipedia_sentence
western_lifestyle,pollution,"There are many critiques of ecotourism as exploitative and a highly consumer-centered and contradictory activity including detrimental effects on the environment from the amount of jet engine fuel burned on the flight there and back, the additional amenities that must be built to cater to Western expectations, the pollution and garbage associated with a Western lifestyle, the disturbance of flora and fauna and a bevy of other concerns expressed by environmentalist voices.",wikipedia_sentence
greenhouse_effect,pollution,"After witnessing the devastating consequences of World War II and having troops still fighting in the Vietnam War, western (especially North American) societies began promoting ""peace and love"" to help generate positive energy and to promote the preservation of dissipating environmental factors, such as the emergence of oil pipelines and the recognition of pollution caused by the greenhouse effect.",wikipedia_sentence
heavy_concentration_of_paper_mills,pollution,"During the late 18th century and early 19th century, the heavy concentration of paper mills and the use of dyes near Fitchburg resulted in pollution that notoriously turned the river various colors downstream from the factories.",wikipedia_sentence
use_of_dyes_near_fitchburg,pollution,"During the late 18th century and early 19th century, the heavy concentration of paper mills and the use of dyes near Fitchburg resulted in pollution that notoriously turned the river various colors downstream from the factories.",wikipedia_sentence
former_zinc,pollution,This pollution is a result of former zinc and lead mining activities near the Belgian towns of Kelmis (La Calamine) and Plombières (formerly named Bleiberg).,wikipedia_sentence
gasworks_and_gas_storage,pollution,"The pollution associated with gasworks and gas storage makes the land difficult to reclaim for other purposes, but some gas holders, notably in Vienna, have been converted into other uses such as living space and a shopping mall and historical archives for the city.",wikipedia_sentence
nickel_dust_escaping_from_exported_ore,pollution,"Before long, additional concerns were raised about pollution caused by nickel dust escaping from exported ore.",wikipedia_sentence
actions,pollution,"Additionally, in the first Telling, the developers brought in a character named Khepry, whose actions indirectly led to pollution and depleted resources.",wikipedia_sentence
proliferation_of_impoverished_workers,pollution,"The proliferation of impoverished workers led to overcrowding, pollution and social problems such as opium smoking and prostitution.",wikipedia_sentence
global_change,pollution,"In the last 250 years, global change has caused climate change, widespread species extinctions, fish-stock collapse, desertification, ocean acidification, ozone depletion, pollution, and other large-scale shifts.",wikipedia_sentence
generation_of_this_electricity,pollution,"The pollution associated with the generation of this electricity would therefore effectively be exported to the Mpumalanga region, an area already under severe strain from air pollution.",wikipedia_sentence
local_barangay_corruption,pollution,A CBS News expose revealed that fishermen here were more distressed by the pollution caused by the Masinloc thermal power plant and local Barangay corruption than by any PRC activities.,wikipedia_sentence
masinloc_thermal_power_plant,pollution,A CBS News expose revealed that fishermen here were more distressed by the pollution caused by the Masinloc thermal power plant and local Barangay corruption than by any PRC activities.,wikipedia_sentence
increasing_levels_of_urban_and_industrial_development_in_the_californias,pollution,Wildcoast proposes solutions to the pollution associated with increasing levels of urban and industrial development in the Californias.,wikipedia_sentence
industries_waterworks,pollution,"The number of flamingos has been decreasing recently, perhaps due to too much tourism, pollution resulting from industries waterworks nearby who dump waste into the waters or simply because of changes in water quality which makes the lake temporarily inhospitable.",wikipedia_sentence
modern_shipwrecks,pollution,"The waters off Granville are regularly affected by pollution caused by modern shipwrecks, or by illegal fuel tank discharges into the sea.",wikipedia_sentence
illegal_fuel_tank_discharges_into_the_sea,pollution,"The waters off Granville are regularly affected by pollution caused by modern shipwrecks, or by illegal fuel tank discharges into the sea.",wikipedia_sentence
coal-fired_power_stations,pollution,China is now beginning to grapple with the pollution caused by coal-fired power stations.,wikipedia_sentence
emissions_from_the_plant,pollution,"In January 2018, black snow fell in the city near the plant, and local citizens complained that the pollution was caused by emissions from the plant.",wikipedia_sentence
metallurgical_plants_at_pretoria,pollution,"The metallurgical plants at Pretoria were very old and uneconomic and caused pollution; it was thus decided to phase out the coke ovens, blast furnaces and steel conversion plants, and to replace these with a new facility initially based on scrap and electric arc furnaces with the later addition of an iron making plant.",wikipedia_sentence
shell_casings,pollution,"The range closed in 2016, after operating 53 years, due to pollution caused by shell casings.",wikipedia_sentence
smelting_activities,pollution,"Pollution caused by the smelting activities associated with nickel mining between the 1940s and the 1970s, caused many of Killarney's lakes to become acidified, resulting in the loss of fish species, algae and aquatic plant life in many of the lakes.",wikipedia_sentence
building,pollution,They stated that the building would cause pollution and that it could be vulnerable to terrorist attacks.,wikipedia_sentence
oceans,pollution,"Nonpoint source pollution is pollution that occurs when runoff from streets, lawns, farms, and other areas carries toxins, chemicals, and eroded soil into nearby lakes, rivers, and oceans causing pollution and buildup of sediment.",wikipedia_sentence
transport_of_bottled_drinks,pollution,"According to SodaStream, use of home carbonation systems reduces packaging waste from bottles and cans, and the pollution caused by the transport of bottled drinks.",wikipedia_sentence
wild_exploitation,pollution,"During its first official meeting in Recoaro on 9 December 1979, Achille Tramarin, who was then elected secretary of the new party, gave a speech titled Venetian Autonomy and Europe: ""Today for Venetians the moment has come, after 113 years of Italian unitary colonisation, to take their natural and human resources back, to fight against the wild exploitation that brought poverty, emigration, pollution and uprooting from their culture"".",wikipedia_sentence
former_establishments,pollution,"Furthermore, two cement mills which were constructed and stone quarries which were opened in what was empty fields decades ago are now located next to residences, and the pollution caused by the former establishments is an ongoing issue of concern.",wikipedia_sentence
shore_'s_industrialization,pollution,These oyster barges closed when the oysters died due to overfarming and to pollution resulting from the shore's industrialization.,wikipedia_sentence
arcelormittal_plant,pollution,Local citizens complained that the pollution was caused by an ArcelorMittal plant.,wikipedia_sentence
shell_'s_oil_extraction_turned_their_once_abundant_kingdoms_into_an_ecological_wasteland,pollution,"MOSOP claimed that pollution resulting from Shell's oil extraction turned their once abundant kingdoms into an ecological wasteland, their air reeking of sulphur, their water holes and creeks poisoned with petroleum, their night sky turned by burning gas flares into a perpetual twilight.",wikipedia_sentence
grounding,pollution,"They were divided into central and lateral tanks, whose dimensions were designed to considerably reduce the risk of pollution caused by collision or grounding.",wikipedia_sentence
collision,pollution,"They were divided into central and lateral tanks, whose dimensions were designed to considerably reduce the risk of pollution caused by collision or grounding.",wikipedia_sentence
fast_fashion,pollution,Both of these statistics are contributing factors to the pollution caused by the fast fashion.,wikipedia_sentence
chemical_works,pollution,"Stevenson was a religious man with a strong sense of public duty and commitment to the local area, but his chemical works, using the Leblanc process, caused pollution and imposed harsh working conditions on employees, despite being the first Tyneside factory to offer a Saturday half holiday.",wikipedia_sentence
silver-carving,pollution,The silver-carving business in the village are facing issued with the pollution caused by silver-carving and a lack of markets to sell their products.,wikipedia_sentence
lack_of_markets_to_sell_their_products,pollution,The silver-carving business in the village are facing issued with the pollution caused by silver-carving and a lack of markets to sell their products.,wikipedia_sentence
toxic_metal_leachage_from_the_tailings,pollution,In 1997 a reclamation project was begun to alleviate pollution caused by toxic metal leachage from the tailings.,wikipedia_sentence
general_ignorance,pollution,"""Nonpoint"" takes a stance on the dark side of the industrialized society where general ignorance has caused pollution that corrupts nature, and in the end, man's soul.",wikipedia_sentence
soviet-built_factories,pollution,"During the Gorbachev era of the 1980s, with the reforms of Glasnost and Perestroika, Armenians began to demand better environmental care for their country, opposing the pollution that Soviet-built factories brought.",wikipedia_sentence
improper_processing_of_natural_gas,pollution,"The extraction and use of shale gas can affect the environment through the leaking of extraction chemicals and waste into water supplies, the leaking of greenhouse gases during extraction, and the pollution caused by the improper processing of natural gas.",wikipedia_sentence
agricultural_and_mine-tailing_of_humans_in_the_area,pollution,Also the pollution caused by the agricultural and mine-tailing of humans in the area is causing the mountain streams and rivers to become polluted leaving fewer places for frogs to produce and rear their young.,wikipedia_sentence
exploitation_of_oil_sands,pollution,"His art has a political motivation, and, in addition to Quebec independence, he is concerned about environmental issues such as pollution caused by exploitation of oil sands, the destruction of honey bee populations, and human rights issues such as the rights of indigenous peoples.",wikipedia_sentence
electronic_information_products,pollution,"China RoHS (Restriction of Hazardous Substances), officially known as Administrative Measure on the Control of Pollution Caused by Electronic Information Products is a Chinese government regulation to control certain materials, including lead.",wikipedia_sentence
actual_building_of_the_city,pollution,"It is unclear whether they are including traffic emissions, or the pollution caused by the actual building of the city, which will last ten years or more\n\nBrochures and official website.",wikipedia_sentence
petroleum_products,pollution,"It can also be used as a biomonitor to indicate pollution caused by heavy metals, organochlorides and petroleum products.",wikipedia_sentence
organochlorides,pollution,"It can also be used as a biomonitor to indicate pollution caused by heavy metals, organochlorides and petroleum products.",wikipedia_sentence
various_constitutions,pollution,The pollution caused by various constitutions made by the Motel in the riverbed and the banks on the river Beas have to be removed and reversed.,wikipedia_sentence
support_activities,pollution,"However, as with all energy sources, there is some pollution associated with support activities such as mining, manufacturing and transportation.",wikipedia_sentence
endosulfan_use,pollution,Endosulfan use has led to the pollution and abandonment of agricultural land and it has been shown to bioaccumulate and travel long distances through air and water.,wikipedia_sentence
gas_drilling,pollution,"Providing assistance for victims of addiction and imposing penalties for pollution caused by gas drilling, were among the biggest issues in Shapiro's campaign.",wikipedia_sentence
plastic_wastes,pollution,Bud rot disease of Coconut; Foot rot disease of black pepper\n•\tAdoption of soil and water conservation technologies under watershed development programmes \n•\tEnvironmental problems like  pollution caused by plastic wastes,wikipedia_sentence
archaea,pollution,"Although these activities are vital for normal ecosystem function, archaea can also contribute to human-made changes, and even cause pollution.",wikipedia_sentence
oil_wells_in_the_same_bay,pollution,"The vegetation of the islands in the Baku Archipelago has been quite damaged by the pollution caused by the oil wells in the same bay, so that most islands are almost devoid of vegetation.",wikipedia_sentence
uncontrolled_groundwater_use,pollution,"In addition, uncontrolled groundwater use can lead to pollution or overexploitation of aquifers.",wikipedia_sentence
coal_briquetting_plant,pollution,"The coal briquetting plant that caused the pollution were fined a total of GBP31,816 in fines and costs, after a prosecution brought by the Environment Agency.",wikipedia_sentence
high_pollution_loads_of_organic_matter_from_hotels_and_other_commercial_establishments_around_the_lake,pollution,High pollution loads of organic matter from hotels and other commercial establishments around the lake are causing pollution.,wikipedia_sentence
biological_issues,pollution,"The novel primarily takes place 16 years after the events that occurred during the establishment of Gilead, and depicts a grim picture of society, where pollution caused by nuclear and biological issues have caused near-universal infertility and a sharp rise in birth defects, where women are subjugated and valued only for their reproductive capacities, and where minorities of every stripe are persecuted.",wikipedia_sentence
separation,pollution,This reservoir is fed mainly by the Turija River and the Spreča River; it already suffers from pollution caused by coal production and separation.,wikipedia_sentence
coal_production,pollution,This reservoir is fed mainly by the Turija River and the Spreča River; it already suffers from pollution caused by coal production and separation.,wikipedia_sentence
failures_to_manage_wastes,pollution,"Heavy metals from mining can be harmful to the environment when left exposed, and failures to manage wastes may cause pollution.",wikipedia_sentence
